name,file,x,y,z,qw,qx,qy,qz,rotX_deg,rotY_deg,rotZ_deg
"240906_Gr3_EG_UG- 1","240906_Gr3_EG_UG-_1.jpg",2648878.4511361727,1177555.1924980893,654.2312601818711,-0.00008074379466694055,0.8105733442269456,0.5856371139324781,0.000133768542907691,-179.98352304082857,0.0070064318675537186,-71.69602591846967
"240906_Gr3_EG_UG- 3","240906_Gr3_EG_UG-_3.jpg",2648878.262288525,1177554.4001293418,654.2657371804889,0.000032631755550054744,0.19908531909831054,0.9799821540943434,0.0001109563117811149,0.011715692400914208,179.9938042279557,22.96695169702563
"240906_Gr3_EG_UG- 4","240906_Gr3_EG_UG-_4.jpg",2648877.2593992893,1177554.0404141094,654.1762418792769,-0.00015117484588052495,0.9961310503082388,0.08788007304605878,-0.000022790139858363043,-179.9829731655212,-0.004123831929412692,-10.083321355816306
"240906_Gr3_EG_UG- 5","240906_Gr3_EG_UG-_5.jpg",2648876.6988301068,1177553.0501546364,654.1687043286415,-0.0000481609564261028,0.9280892287628155,0.372357839310819,0.0001436619053751087,-179.98874810529682,0.013223631951487983,-43.722211873688906
"240906_Gr3_EG_UG- 6","240906_Gr3_EG_UG-_6.jpg",2648875.3143943017,1177552.819873388,654.1670162064127,0.00004580466814479757,0.4297195646586049,0.9029623928687744,0.0001035193151803028,0.008455812879979598,179.99016298292952,50.89952828396576
"240906_Gr3_EG_UG- 7","240906_Gr3_EG_UG-_7.jpg",2648874.8268441516,1177552.9418216099,654.16446277595,0.00004687382380596499,-0.1203491901627587,0.9927316195213147,0.00004280888292247846,0.0055163183213160286,179.99525807378424,-13.824511769651798
"240906_Gr3_EG_UG- 8","240906_Gr3_EG_UG-_8.jpg",2648874.3865065207,1177553.1161434052,654.2880794214931,0.00006140247952341687,-0.11793114720404847,0.9930217653337551,0.00011967583460794052,0.014447930113727551,179.99463018336976,-13.545437201756446
"240906_Gr3_EG_UG- 9","240906_Gr3_EG_UG-_9.jpg",2648873.0375204408,1177553.48275963,654.2884149268052,0.00003657286747807039,0.0015402209825955172,0.9999988085462065,0.00009637384329180116,0.011037160915536345,179.99579205345813,0.17649598906283698
"240906_Gr3_EG_UG- 10","240906_Gr3_EG_UG-_10.jpg",2648874.3139247065,1177554.7948293197,654.2936998612935,-0.00008427141647127478,0.7790448592916671,0.6269681697498456,0.00011928991597752144,-179.98390650976427,0.004594743376650627,-77.65358588774828
"240906_Gr3_EG_UG- 11","240906_Gr3_EG_UG-_11.jpg",2648872.5163306054,1177554.5722788956,654.3110390482311,0.0000062942836605331,0.5662225099688887,0.8242524249981035,0.00009512969922739405,0.008576825364135158,179.99323306410983,68.97445528524705
"240906_Gr3_EG_UG- 12","240906_Gr3_EG_UG-_12.jpg",2648872.62325451,1177551.0463821988,654.32100783568,0.0001320430984539692,0.37517322710590256,0.9269547017320238,0.00011473647148110797,0.006510688972076668,179.98104151110223,44.07003909644875
